ags,year,election_date,state,state_name,eligible_voters,number_voters,valid_votes,invalid_votes,turnout,cdu,csu,spd,gruene,fdp,linke_pds,afd,npd,rep,die_rechte,dvu,iii_weg,bf_b,ddd,dg,dns,drp,dsu,dkp,kpd,mlpd,sgp,spad,bsa,bwk,x50plus,ab_2000,ad_demokraten,adf,adm,agfg,apd,appd,aufbruch,b,bge,big,bp,buendnis_c,buendnis21,buergerbewegung,bueso,cbv,chance_2000,cm,deutschland,di_b,die_basis,die_humanisten,die_partei,dm,dp,dpd,du,eap,familie,forum,frauen,freie_waehler,fwd,gartenpartei,gb_bhe,gdp,gesundheitsforschung,graue,gvp,hp,liebe,liga,lkr,menschliche_welt,mg,muendige,naturgesetz,nichtwaehler,oedp,offensive_d,oko_union,partei_der_vernunft,pass,patrioten,pbc,pd_f,pdv,piraten,prg,pro_deutschland,pro_dm,rentner,rrp,schill,ssw,statt_partei,team_todenhoefer,tierschutz,tierschutzallianz,unabhaengige,usd,v_partei3,vaa,violetten,volksabstimmung,volt,bsw,mera25,werteunion,verjuengungsforschung,pd_h,buendnis_deutschland,zentrum,cdu_csu,far_right,far_left,far_left_w_linke,flag_briefwahl_agg
01021,1953,1953-09-06,01,Schleswig-Holstein,42226,36054,35024,1030,0.853834130630417,0.499140178620958,0,0.128057913130305,,0.0464580906418151,,,,,,,,,,,0.00072114051145504,0.00660120929716536,,,0.00460420480390525,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0.073500859821379,,,,,,,,,,0.0972152881788428,,,,0.00502024740666778,,,,,,,,,,,,,,,,,,,,,,,,,,0.110112608864481,,,,,,,,,,,,,,,,,,0,0.499140178620958,0.0073223498086204,0.00460420480390525,0.00460420480390525,0
02022,1953,1953-09-06,02,Hamburg,1241880,1085279,1059983,25296,0.873900054755693,0.358741853477309,0,0.371710868818064,,0.100178848019726,,,,,,,,,,,0,0.015757238461262,,,0.0371130372927146,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0.0572415019547969,,,,,,,,,,0.0240795224085235,,,,0.011868837414158,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,0.358741853477309,0.015757238461262,0.0371130372927146,0.0371130372927146,0
03023,1953,1953-09-06,03,Niedersachsen,34624,31038,30264,774,0.89643022181146,0.322314582125137,0,0.327759520587667,,0.0356337392873252,,,,,,,,,,,0,0.039467749210645,,,0.0076358012758554,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0.142212771441459,,,,,,,,,,0.0946903795347638,,,,0.0053482827501772,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,0.322314582125137,0.039467749210645,0.0076358012758554,0.0076358012758554,0
03024,1953,1953-09-06,03,Niedersachsen,359403,313810,307938,5872,0.873142405600398,0.297861763487461,0,0.431525445333163,,0.0603199388164813,,,,,,,,,,,0,0.0270227207545967,,,0.016691628692521,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0.101698479971958,,,,,,,,,,0.0376183040693413,,,,0.00854975940855932,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,0.297861763487461,0.0270227207545967,0.016691628692521,0.016691628692521,0
03025,1953,1953-09-06,03,Niedersachsen,49683,42593,41258,1335,0.857295251897027,0.256262766182237,0,0.165074073204517,,0.102998145235133,,,,,,,,,,,0,0.0854835301575376,,,0.00281736435564529,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0.219871809921818,,,,,,,,,,0.133331768130914,,,,0.00281736435564529,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,0.256262766182237,0.0854835301575376,0.00281736435564529,0.00281736435564529,0
03026,1953,1953-09-06,03,Niedersachsen,80865,71445,69047,2398,0.883509552958635,0.288669605990622,0,0.22411645321576,,0.0148085940233746,,,,,,,,,,,0,0.0534117153054797,,,0.00482888935544825,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0.249002729372244,,,,,,,,,,0.128266498705298,,,,0.00333123381622227,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,0.288669605990622,0.0534117153054797,0.00482888935544825,0.00482888935544825,0
03027,1953,1953-09-06,03,Niedersachsen,58271,53410,51131,2279,0.916579430591546,0.301853585470886,0,0.348661299382138,,0.0367534169631155,,,,,,,,,,,0,0.0309679835236847,,,0.0126006365849092,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0.0691069088185733,,,,,,,,,,0.149990638457218,,,,0.00739561879797791,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,0.301853585470886,0.0309679835236847,0.0126006365849092,0.0126006365849092,0
03028,1953,1953-09-06,03,Niedersachsen,60901,55812,54283,1529,0.916438153724898,0.261915000358346,0,0.331272844549559,,0.0328603167777539,,,,,,,,,,,0,0.0322869633770515,,,0.00775818820325378,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0.142693327599799,,,,,,,,,,0.159714756683151,,,,0.00410306027377625,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,0.261915000358346,0.0322869633770515,0.00775818820325378,0.00775818820325378,0
03029,1953,1953-09-06,03,Niedersachsen,105390,96583,94146,2437,0.916434196792865,0.26566787115745,0,0.440791857780355,,0.0578983879150575,,,,,,,,,,,0,0.0266299452284564,,,0.0130147127341251,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0.0895913359493907,,,,,,,,,,0.0761210565006264,,,,0.00505264901690774,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,0.26566787115745,0.0266299452284564,0.0130147127341251,0.0130147127341251,0
03030,1953,1953-09-06,03,Niedersachsen,46342,41297,39957,1340,0.891135471062967,0.209022447151125,0,0.316366806305543,,0.04109257331041,,,,,,,,,,,0,0.0346514274644647,,,0.00726445020219386,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0.198513209191951,,,,,,,,,,0.151996513063903,,,,0.0086446957406107,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,0.209022447151125,0.0346514274644647,0.00726445020219386,0.00726445020219386,0
