ags,year,age_band,sex,count
12060,2020,80 bis unter 85 Jahre,f,4896
12060,2020,40 bis unter 45 Jahre,m,6397
12060,2020,40 bis unter 45 Jahre,f,6217
12060,2020,15 bis unter 20 Jahre,m,4024
12060,2020,15 bis unter 20 Jahre,f,3622
12060,2020,60 bis unter 65 Jahre,f,7807
12060,2020,60 bis unter 65 Jahre,m,7720
12060,2020,25 bis unter 30 Jahre,f,2851
12060,2020,25 bis unter 30 Jahre,m,3020
12060,2020,20 bis unter 25 Jahre,f,3027
12060,2020,20 bis unter 25 Jahre,m,3704
12060,2020,30 bis unter 35 Jahre,f,5757
12060,2020,30 bis unter 35 Jahre,m,5565
12060,2020,85 bis unter 90 Jahre,m,1472
12060,2020,85 bis unter 90 Jahre,f,2411
12060,2020,5 bis unter 10 Jahre,f,4382
12060,2020,5 bis unter 10 Jahre,m,4633
12060,2020,10 bis unter 15 Jahre,m,4688
12060,2020,10 bis unter 15 Jahre,f,4269
12060,2020,45 bis unter 50 Jahre,m,5732
12060,2020,45 bis unter 50 Jahre,f,5342
12060,2020,90 bis unter 95 Jahre,f,1007
12060,2020,90 bis unter 95 Jahre,m,423
12060,2020,65 bis unter 70 Jahre,m,6485
12060,2020,65 bis unter 70 Jahre,f,6883
12060,2020,95 Jahre und mehr,m,50
12060,2020,95 Jahre und mehr,f,251
12060,2020,70 bis unter 75 Jahre,f,4652
12060,2020,70 bis unter 75 Jahre,m,4207
12060,2020,50 bis unter 55 Jahre,m,7319
12060,2020,50 bis unter 55 Jahre,f,7223
12060,2020,35 bis unter 40 Jahre,f,6216
12060,2020,35 bis unter 40 Jahre,m,6370
12061,2020,50 bis unter 55 Jahre,m,7104
12061,2020,50 bis unter 55 Jahre,f,6921
12061,2020,85 bis unter 90 Jahre,m,1564
12061,2020,85 bis unter 90 Jahre,f,2504
12061,2020,30 bis unter 35 Jahre,m,5332
12061,2020,30 bis unter 35 Jahre,f,5217
12061,2020,10 bis unter 15 Jahre,m,4013
12061,2020,10 bis unter 15 Jahre,f,3824
12061,2020,25 bis unter 30 Jahre,m,2957
12061,2020,25 bis unter 30 Jahre,f,2758
12061,2020,70 bis unter 75 Jahre,f,4004
12061,2020,70 bis unter 75 Jahre,m,3655
12061,2020,90 bis unter 95 Jahre,m,477
12061,2020,90 bis unter 95 Jahre,f,1034
12061,2020,35 bis unter 40 Jahre,f,5833
12061,2020,35 bis unter 40 Jahre,m,5919
12061,2020,65 bis unter 70 Jahre,m,5807
12061,2020,65 bis unter 70 Jahre,f,6126
12061,2020,55 bis unter 60 Jahre,f,7866
12061,2020,55 bis unter 60 Jahre,m,8218
12061,2020,75 bis unter 80 Jahre,f,4650
12061,2020,75 bis unter 80 Jahre,m,3726
12061,2020,unter 5 Jahre,f,3864
12061,2020,unter 5 Jahre,m,4133
12061,2020,45 bis unter 50 Jahre,f,4972
12061,2020,45 bis unter 50 Jahre,m,5304
12061,2020,80 bis unter 85 Jahre,f,4839
12061,2020,80 bis unter 85 Jahre,m,3546
12061,2020,40 bis unter 45 Jahre,m,5791
12061,2020,40 bis unter 45 Jahre,f,5527
12061,2020,60 bis unter 65 Jahre,m,6944
12061,2020,60 bis unter 65 Jahre,f,6875
12061,2020,15 bis unter 20 Jahre,m,3576
12061,2020,15 bis unter 20 Jahre,f,3351
12061,2020,20 bis unter 25 Jahre,f,2988
12061,2020,20 bis unter 25 Jahre,m,3511
12061,2020,5 bis unter 10 Jahre,m,4259
12061,2020,5 bis unter 10 Jahre,f,3985
12061,2020,95 Jahre und mehr,f,270
12061,2020,95 Jahre und mehr,m,72
12062,2020,80 bis unter 85 Jahre,m,2369
12062,2020,80 bis unter 85 Jahre,f,3467
12062,2020,5 bis unter 10 Jahre,f,1921
12062,2020,5 bis unter 10 Jahre,m,2042
12062,2020,40 bis unter 45 Jahre,m,3072
12062,2020,40 bis unter 45 Jahre,f,2585
12062,2020,60 bis unter 65 Jahre,m,4695
