ags,year,marriages
16072,2018,238
16072,2019,237
16072,2020,207
16072,2021,159
16072,2022,206
16072,2023,189
16072,2024,184
16072,2025,159
16073,2018,576
16073,2019,531
16073,2020,512
16073,2021,472
16073,2022,513
16073,2023,411
16073,2024,365
16073,2025,418
16074,2018,381
16074,2019,362
16074,2020,354
16074,2021,351
16074,2022,330
16074,2023,341
16074,2024,344
16074,2025,384
16075,2018,398
16075,2019,365
16075,2020,341
16075,2021,310
16075,2022,319
16075,2023,294
16075,2024,300
16075,2025,258
16076,2018,447
16076,2019,379
16076,2020,404
16076,2021,335
16076,2022,349
16076,2023,322
16076,2024,328
16076,2025,337
16077,2018,417
16077,2019,369
16077,2020,338
16077,2021,338
16077,2022,375
16077,2023,284
16077,2024,298
16077,2025,293
10041100,2025,681
11001001,2022,768
11001001,2023,853
11001001,2024,708
11001001,2025,681
11002002,2022,818
11002002,2023,789
11002002,2024,625
11002002,2025,688
11003003,2022,1122
11003003,2023,1220
11003003,2024,1211
11003003,2025,1072
11004004,2022,1831
11004004,2023,1668
11004004,2024,1721
11004004,2025,1766
11005005,2022,613
11005005,2023,498
11005005,2024,535
11005005,2025,670
11006006,2022,998
11006006,2023,959
11006006,2024,1003
11006006,2025,1065
11007007,2022,1635
11007007,2023,1737
11007007,2024,1530
11007007,2025,1593
11008008,2022,1510
11008008,2023,1366
11008008,2024,1419
11008008,2025,1333
11009009,2022,1023
11009009,2023,862
11009009,2024,838
11009009,2025,792
11010010,2022,426
11010010,2023,76
11010010,2024,100
11010010,2025,132
11011011,2022,731
11011011,2023,643
11011011,2024,779
11011011,2025,779
11012012,2022,864
11012012,2023,757
11012012,2024,773
11012012,2025,656
05754,2018,1982
05754,2019,1834
05754,2020,1633
05754,2021,1538
05754,2022,1775
05754,2023,1587
05754,2024,1515
05754,2025,1494
06411,2018,984
06411,2019,1022
06411,2020,937
06411,2021,827
06411,2022,872
06411,2023,775
06411,2024,872
06411,2025,921
08326,2018,1099
08326,2019,1048
08326,2020,1011
08326,2021,871
08326,2022,921
08326,2023,888
08326,2024,858
08326,2025,880
07111,2018,700
07111,2019,612
07111,2020,578
07111,2021,574
07111,2022,581
07111,2023,574
07111,2024,575
07111,2025,596
09774,2018,693
09774,2019,611
09774,2020,582
09774,2021,599
09774,2022,620
09774,2023,564
09774,2024,549
09774,2025,538
06437,2018,487
06437,2019,487
06437,2020,419
06437,2021,408
06437,2022,450
06437,2023,427
06437,2024,412
06437,2025,412
09186,2018,702
09186,2019,695
09186,2020,586
09186,2021,594
09186,2022,652
09186,2023,642
09186,2024,587
09186,2025,595
03452,2018,1943
03452,2019,1825
03452,2020,1458
03452,2021,1322
03452,2022,1671
03452,2023,1527
03452,2024,1375
03452,2025,1379
09471,2018,777
09471,2019,781
09471,2020,696
09471,2021,666
09471,2022,710
09471,2023,666
09471,2024,624
09471,2025,674
05124,2018,1798
05124,2019,1659
05124,2020,1368
05124,2021,1420
05124,2022,1601
05124,2023,1479
05124,2024,1471
05124,2025,1354
06611,2018,1164
06611,2019,1074
06611,2020,848
06611,2021,858
06611,2022,950
06611,2023,929
06611,2024,853
06611,2025,930
08126,2018,611
08126,2019,541
08126,2020,500
08126,2021,443
08126,2022,558
08126,2023,533
08126,2024,544
08126,2025,503
09761,2018,1403
09761,2019,1360
09761,2020,1103
09761,2021,1054
09761,2022,1214
09761,2023,1177
09761,2024,1175
09761,2025,1214
01055,2018,2164
01055,2019,1982
01055,2020,1799
01055,2021,1603
01055,2022,1905
01055,2023,1735
01055,2024,1620
01055,2025,1618
08211,2018,371
08211,2019,340
08211,2020,340
08211,2021,345
08211,2022,352
08211,2023,320
08211,2024,320
08211,2025,306
06531,2018,1272
06531,2019,1296
06531,2020,1172
06531,2021,1146
06531,2022,1207
06531,2023,1092
06531,2024,1095
06531,2025,1174
09190,2018,839
09190,2019,730
09190,2020,674
09190,2021,645
09190,2022,747
09190,2023,686
09190,2024,677
09190,2025,645
03357,2018,829
03357,2019,781
03357,2020,796
03357,2021,764
03357,2022,830
03357,2023,793
03357,2024,738
03357,2025,710
01002,2018,1304
01002,2019,1151
01002,2020,1057
01002,2021,889
01002,2022,1022
01002,2023,1092
01002,2024,967
01002,2025,1023
09561,2018,224
09561,2019,182
09561,2020,210
09561,2021,209
09561,2022,208
09561,2023,207
09561,2024,182
09561,2025,170
03251,2018,1097
03251,2019,1047
03251,2020,875
03251,2021,916
03251,2022,1031
03251,2023,970
03251,2024,882
03251,2025,945
09679,2018,878
09679,2019,834
09679,2020,689
09679,2021,671
09679,2022,726
09679,2023,696
09679,2024,557
09679,2025,629
03157,2018,638
03157,2019,620
03157,2020,547
03157,2021,492
03157,2022,525
03157,2023,526
03157,2024,464
03157,2025,470
09573,2018,665
09573,2019,598
09573,2020,559
09573,2021,546
09573,2022,582
09573,2023,467
09573,2024,514
09573,2025,476
08216,2018,1095
08216,2019,1111
08216,2020,1000
08216,2021,955
08216,2022,1048
08216,2023,900
08216,2024,845
08216,2025,879
07231,2018,646
07231,2019,594
07231,2020,572
07231,2021,561
07231,2022,637
07231,2023,576
07231,2024,576
07231,2025,583
07337,2018,786
07337,2019,683
07337,2020,622
07337,2021,609
07337,2022,624
07337,2023,579
07337,2024,556
07337,2025,600
08136,2018,1616
08136,2019,1555
08136,2020,1481
08136,2021,1415
08136,2022,1500
08136,2023,1364
08136,2024,1340
08136,2025,1303
05154,2018,1802
05154,2019,1746
05154,2020,1555
05154,2021,1498
05154,2022,1666
05154,2023,1510
05154,2024,1502
05154,2025,1433
09476,2018,349
09476,2019,345
09476,2020,296
09476,2021,325
09476,2022,319
09476,2023,297
09476,2024,282
09476,2025,299
03354,2018,265
03354,2019,209
03354,2020,232
03354,2021,211
03354,2022,229
03354,2023,220
03354,2024,201
03354,2025,205
09163,2018,283
09163,2019,229
09163,2020,218
09163,2021,212
09163,2022,205
09163,2023,226
09163,2024,212
09163,2025,212
09279,2018,466
09279,2019,459
09279,2020,425
09279,2021,419
09279,2022,462
09279,2023,418
09279,2024,430
09279,2025,417
09574,2018,966
09574,2019,937
09574,2020,848
09574,2021,780
09574,2022,921
09574,2023,775
09574,2024,759
09574,2025,800
09173,2018,824
09173,2019,789
09173,2020,739
09173,2021,670
09173,2022,773
09173,2023,691
09173,2024,724
09173,2025,707
09271,2018,725
09271,2019,644
09271,2020,603
09271,2021,580
09271,2022,611
09271,2023,591
09271,2024,565
09271,2025,594
05554,2018,2309
05554,2019,2186
05554,2020,2011
05554,2021,2037
05554,2022,2204
05554,2023,1981
05554,2024,1920
05554,2025,1933
03101,2018,1380
03101,2019,1258
03101,2020,1201
03101,2021,1042
03101,2022,1130
03101,2023,1015
03101,2024,1061
03101,2025,1107
07133,2018,869
07133,2019,759
07133,2020,717
07133,2021,735
07133,2022,790
07133,2023,692
07133,2024,652
07133,2025,667
09779,2018,727
09779,2019,740
09779,2020,672
09779,2021,672
09779,2022,649
09779,2023,656
09779,2024,585
09779,2025,597
03404,2018,860
03404,2019,746
03404,2020,704
03404,2021,680
03404,2022,735
03404,2023,697
03404,2024,547
03404,2025,565
08237,2018,608
08237,2019,558
08237,2020,570
08237,2021,537
08237,2022,589
08237,2023,513
08237,2024,484
08237,2025,514
07333,2018,421
07333,2019,369
07333,2020,353
07333,2021,342
07333,2022,386
07333,2023,349
07333,2024,351
07333,2025,340
06414,2018,1790
06414,2019,1574
06414,2020,1375
06414,2021,1340
06414,2022,1497
06414,2023,1312
06414,2024,1247
06414,2025,1203
09377,2018,395
09377,2019,392
09377,2020,316
09377,2021,348
09377,2022,352
09377,2023,327
09377,2024,339
09377,2025,334
06534,2018,1144
06534,2019,1127
06534,2020,1062
06534,2021,1066
06534,2022,1190
06534,2023,1033
06534,2024,1038
06534,2025,1040
05915,2018,943
05915,2019,946
05915,2020,795
05915,2021,812
05915,2022,949
05915,2023,887
05915,2024,830
05915,2025,878
06535,2018,548
06535,2019,571
06535,2020,512
06535,2021,533
06535,2022,585
06535,2023,501
06535,2024,516
06535,2025,477
05114,2018,1073
05114,2019,924
05114,2020,700
05114,2021,700
05114,2022,818
05114,2023,800
05114,2024,660
05114,2025,762
09263,2018,239
09263,2019,223
09263,2020,189
09263,2021,201
09263,2022,230
09263,2023,201
09263,2024,196
09263,2025,199
08117,2018,1470
08117,2019,1375
08117,2020,1266
08117,2021,1215
08117,2022,1287
08117,2023,1171
08117,2024,1110
08117,2025,1064
09773,2018,511
09773,2019,489
09773,2020,403
09773,2021,421
09773,2022,475
09773,2023,422
09773,2024,399
09773,2025,400
07320,2018,296
07320,2019,274
07320,2020,280
07320,2021,238
07320,2022,289
07320,2023,269
07320,2024,262
07320,2025,238
05314,2018,1624
05314,2019,1517
05314,2020,1314
05314,2021,1366
05314,2022,1389
05314,2023,1466
05314,2024,1448
05314,2025,1424
03451,2018,801
03451,2019,764
03451,2020,687
03451,2021,634
03451,2022,726
03451,2023,691
03451,2024,661
03451,2025,629
03154,2018,442
03154,2019,414
03154,2020,366
03154,2021,326
03154,2022,381
03154,2023,350
03154,2024,322
03154,2025,325
09275,2018,990
09275,2019,922
09275,2020,785
09275,2021,872
09275,2022,940
09275,2023,865
09275,2024,781
09275,2025,834
08421,2018,837
08421,2019,712
08421,2020,714
08421,2021,685
08421,2022,787
08421,2023,728
08421,2024,719
08421,2025,758
03457,2018,1083
03457,2019,1014
03457,2020,903
03457,2021,916
03457,2022,1001
03457,2023,961
03457,2024,877
03457,2025,948
05119,2018,900
05119,2019,1028
05119,2020,871
05119,2021,696
05119,2022,780
05119,2023,730
05119,2024,811
05119,2025,770
05974,2018,1667
05974,2019,1484
05974,2020,1370
05974,2021,1300
05974,2022,1469
05974,2023,1215
05974,2024,1294
05974,2025,1323
09276,2018,514
09276,2019,518
09276,2020,468
09276,2021,505
09276,2022,565
09276,2023,552
09276,2024,471
09276,2025,467
07319,2018,348
07319,2019,343
07319,2020,272
07319,2021,271
07319,2022,243
07319,2023,248
07319,2024,262
07319,2025,246
07137,2018,1368
07137,2019,1310
07137,2020,1119
07137,2021,1035
07137,2022,1199
07137,2023,1036
07137,2024,941
07137,2025,971
09181,2018,704
09181,2019,692
09181,2020,592
09181,2021,593
09181,2022,596
09181,2023,609
09181,2024,589
09181,2025,672
05316,2018,639
05316,2019,602
05316,2020,521
05316,2021,540
05316,2022,583
05316,2023,516
05316,2024,479
05316,2025,452
01054,2018,2491
01054,2019,2356
01054,2020,1948
01054,2021,1720
01054,2022,2033
01054,2023,1797
01054,2024,1766
01054,2025,1717
05334002,2018,1517
05334002,2019,1352
05334002,2020,1279
05334002,2021,1196
05334002,2022,1382
05334002,2023,1219
05334002,2024,1243
05334002,2025,1302
03403,2018,1065
03403,2019,921
03403,2020,807
03403,2021,770
03403,2022,835
03403,2023,788
03403,2024,757
03403,2025,773
05958,2018,1347
05958,2019,1259
05958,2020,1179
05958,2021,1162
05958,2022,1246
05958,2023,1142
05958,2024,1147
05958,2025,1067
09262,2018,469
09262,2019,469
09262,2020,339
09262,2021,304
09262,2022,379
09262,2023,305
09262,2024,335
09262,2025,230
09778,2018,824
09778,2019,725
09778,2020,693
09778,2021,646
09778,2022,718
09778,2023,661
09778,2024,650
09778,2025,615
03256,2018,555
03256,2019,538
03256,2020,553
03256,2021,496
03256,2022,552
03256,2023,522
03256,2024,488
03256,2025,559
09177,2018,721
09177,2019,760
09177,2020,656
09177,2021,659
09177,2022,695
09177,2023,660
09177,2024,634
09177,2025,651
09462,2018,263
09462,2019,222
09462,2020,221
09462,2021,217
09462,2022,225
09462,2023,201
09462,2024,214
09462,2025,217
06632,2018,562
06632,2019,539
06632,2020,568
06632,2021,476
06632,2022,536
06632,2023,423
06632,2024,447
06632,2025,404
05120,2018,517
05120,2019,478
05120,2020,429
05120,2021,423
05120,2022,428
05120,2023,444
05120,2024,400
05120,2025,405
08317,2018,2417
08317,2019,2245
08317,2020,2114
08317,2021,2090
08317,2022,2164
08317,2023,2068
08317,2024,1991
08317,2025,1981
02000,2018,6274
02000,2019,6065
02000,2020,4766
02000,2021,4689
02000,2022,4323
02000,2023,4499
02000,2024,5320
02000,2025,5365
09475,2018,512
09475,2019,497
09475,2020,433
09475,2021,379
09475,2022,426
09475,2023,420
09475,2024,364
09475,2025,393
07316,2018,323
07316,2019,284
07316,2020,271
07316,2021,283
07316,2022,298
07316,2023,277
07316,2024,276
07316,2025,279
09463,2018,419
09463,2019,380
09463,2020,359
09463,2021,327
09463,2022,382
09463,2023,325
09463,2024,370
09463,2025,438
03455,2018,929
03455,2019,865
03455,2020,736
03455,2021,699
03455,2022,806
03455,2023,711
03455,2024,653
03455,2025,710
08118,2018,2669
08118,2019,2503
08118,2020,2227
08118,2021,2214
08118,2022,2337
08118,2023,2249
08118,2024,2231
08118,2025,2333
06432,2018,1566
06432,2019,1442
06432,2020,1306
06432,2021,1261
06432,2022,1321
06432,2023,1211
06432,2024,1096
06432,2025,1152
09565,2018,238
09565,2019,220
09565,2020,205
09565,2021,200
09565,2022,232
09565,2023,227
09565,2024,205
09565,2025,217
08121,2018,571
08121,2019,585
08121,2020,512
08121,2021,562
08121,2022,557
08121,2023,531
08121,2024,508
08121,2025,493
09663,2018,793
09663,2019,781
09663,2020,705
09663,2021,682
09663,2022,744
09663,2023,719
09663,2024,748
09663,2025,732
03353,2018,1491
03353,2019,1362
03353,2020,1303
03353,2021,1162
03353,2022,1299
03353,2023,1189
03353,2024,1134
03353,2025,1163
07338,2018,823
07338,2019,790
07338,2020,748
07338,2021,700
07338,2022,703
07338,2023,655
07338,2024,611
07338,2025,604
05916,2018,730
05916,2019,656
05916,2020,559
05916,2021,569
05916,2022,595
05916,2023,551
05916,2024,519
05916,2025,501
08415,2018,1518
08415,2019,1361
08415,2020,1243
08415,2021,1253
08415,2022,1300
08415,2023,1240
08415,2024,1192
08415,2025,1189
05358,2018,1426
05358,2019,1308
05358,2020,1147
05358,2021,1191
05358,2022,1419
05358,2023,1227
05358,2024,1215
05358,2025,1192
07315,2018,966
07315,2019,915
07315,2020,820
07315,2021,781
07315,2022,798
07315,2023,803
07315,2024,731
07315,2025,772
09662,2018,414
09662,2019,406
09662,2020,312
09662,2021,338
09662,2022,362
09662,2023,332
09662,2024,251
09662,2025,304
03241001,2018,2419
03241001,2019,1884
03241001,2020,1732
03241001,2021,1816
03241001,2022,1843
03241001,2023,1745
03241001,2024,1776
03241001,2025,1632
08437,2018,684
08437,2019,605
08437,2020,579
08437,2021,595
08437,2022,647
08437,2023,552
08437,2024,586
08437,2025,565
01058,2018,1568
01058,2019,1561
01058,2020,1394
