ags,year,pct_no_hauptschulabschluss
12073,2020,7
12073,2021,10.9
12073,2022,12.1
12073,2023,10.3
12073,2024,10.6
13001,2006,8.2
13001,2007,6
13001,2008,8.6
13001,2009,7.8
13001,2010,11
13001,2011,12.1
13002,2006,11.5
13002,2007,9.6
13002,2008,6.3
13002,2009,9.6
13002,2010,8
13002,2011,14.7
13003,2006,12.4
13003,2007,10.6
13003,2008,9.5
13003,2009,11.5
13003,2010,10.9
13003,2011,12
13003,2012,10
13003,2013,13.1
13003,2014,8.6
13003,2015,9.7
13003,2016,10.8
13003,2017,9.9
13003,2018,8.9
13003,2019,11.1
13003,2020,8.8
13003,2021,7.8
13003,2022,10.2
13003,2023,9.8
13003,2024,9.6
13004,2006,13.5
13004,2007,13.1
13004,2008,7.9
13004,2009,10.1
13004,2010,17.8
13004,2011,13.1
13004,2012,13.1
13004,2013,14.2
13004,2014,9.9
13004,2015,9.4
13004,2016,11.9
13004,2017,10.3
13004,2018,11.6
13004,2019,11.4
13004,2020,8.1
13004,2021,8.7
13004,2022,11.4
13004,2023,9.7
13004,2024,10.9
13005,2006,10.4
13005,2007,7.6
13005,2008,9.1
13005,2009,7.5
13005,2010,10.7
13005,2011,11.1
13006,2006,13.8
13006,2007,11.7
13006,2008,12.3
13006,2009,21.1
13006,2010,17.7
13006,2011,14.3
13051,2006,10.2
13051,2007,8.4
13051,2008,8.8
13051,2009,10.7
13051,2010,12.4
13051,2011,11.6
13052,2006,11.1
13052,2007,12
13052,2008,11.7
13052,2009,14.4
13052,2010,15.1
13052,2011,16.7
13053,2006,12.5
13053,2007,11.3
13053,2008,9.5
13053,2009,15.7
13053,2010,15.2
13053,2011,12.6
13054,2006,9.4
13054,2007,11.3
13054,2008,9.4
13054,2009,11.1
13054,2010,10.3
13054,2011,14.7
13055,2006,9.2
13055,2007,11.5
13055,2008,12
13055,2009,12.9
13055,2010,16.3
13055,2011,16.5
13056,2006,9.9
13056,2007,10.2
13056,2008,10.1
13056,2009,15.9
13056,2010,14.7
13056,2011,13.9
13057,2006,12.2
13057,2007,10.9
13057,2008,10.2
13057,2009,12.6
13057,2010,14.1
13057,2011,12.9
13058,2006,12.9
13058,2007,11.2
13058,2008,9.9
13058,2009,15.9
13058,2010,15.8
13058,2011,17.8
13059,2006,12.3
13059,2007,11.2
13059,2008,13.9
13059,2009,14.4
13059,2010,17
13059,2011,14.8
13060,2006,11.1
13060,2007,11
13060,2008,10.9
13060,2009,12.7
13060,2010,15.7
13060,2011,18.5
13061,2006,13.8
13061,2007,8.6
13061,2008,10.8
13061,2009,10.4
13061,2010,12.5
13061,2011,16.6
13062,2006,14.5
13062,2007,9.3
13062,2008,9.6
13062,2009,12
