ags,year,registrations_per_10k
12060,2013,77.8
12060,2014,74.3
12060,2015,72.1
12060,2016,66.3
12060,2017,64.5
12060,2018,66.6
12060,2019,66
12060,2020,59.6
12060,2021,64.5
12060,2022,68.1
12060,2023,65.9
12060,2024,66
12060,2025,68.4
12061,2008,103.1
12061,2009,104.6
12061,2010,99.7
12061,2011,98
12061,2012,97.5
12061,2013,88.5
12061,2014,92.3
12061,2015,81.2
12061,2016,79.7
12061,2017,84.1
12061,2018,82.9
12061,2019,83.5
12061,2020,73.3
12061,2021,77.8
12061,2022,100.3
12061,2023,89.8
12061,2024,102.1
12061,2025,104.7
12062,2008,66.1
12062,2009,62.5
12062,2010,59.5
12062,2011,54.9
12062,2012,44.4
12062,2013,49.4
12062,2014,39.3
12062,2015,40.6
12062,2016,34.6
12062,2017,35.7
12062,2018,41
12062,2019,38.3
12062,2020,41.7
12062,2021,40.4
12062,2022,40.2
12062,2023,42.4
12062,2024,46.1
12062,2025,40.6
12063,2008,88.9
12063,2009,93.6
12063,2010,83.9
12063,2011,74.9
12063,2012,67.7
12063,2013,72
12063,2014,77.1
12063,2015,70.6
12063,2016,65.4
12063,2017,72
12063,2018,66.9
12063,2019,67
12063,2020,66.2
12063,2021,69.8
12063,2022,69.2
12063,2023,67.5
12063,2024,64
12063,2025,74.4
12064,2008,99.8
12064,2009,96.5
12064,2010,89.2
12064,2011,87.6
12064,2012,76.4
12064,2013,73.9
12064,2014,73.5
12064,2015,71.3
12064,2016,68.3
12064,2017,69.8
12064,2018,65
12064,2019,69.6
12064,2020,69.1
12064,2021,69.5
12064,2022,65.2
12064,2023,65.9
12064,2024,66.5
12064,2025,71.1
12065,2008,96.2
12065,2009,89.8
12065,2010,93.3
12065,2011,86.2
12065,2012,80.3
12065,2013,79.9
12065,2014,71.6
12065,2015,67
12065,2016,69.7
12065,2017,67.5
12065,2018,68.3
12065,2019,69.6
12065,2020,69.8
12065,2021,75.6
12065,2022,67
12065,2023,68
12065,2024,71.2
12065,2025,77.5
12066,2008,52.8
12066,2009,54.9
12066,2010,54.9
12066,2011,49.3
12066,2012,45
12066,2013,41.5
12066,2014,41
12066,2015,37.6
12066,2016,36.6
12066,2017,33
12066,2018,36.6
12066,2019,37.4
12066,2020,38.2
12066,2021,37
12066,2022,40.1
12066,2023,38.3
12066,2024,43.3
12066,2025,49.7
12067,2008,82.4
12067,2009,81.6
12067,2010,77.5
12067,2011,73.2
