ags,year,population
07317,2020,40176
07317,2021,40054
07317,2022,39324
07317,2023,39576
07317,2024,39761
07317,2025,39389
09184,2018,348871
09184,2019,350473
09184,2020,349685
09184,2021,349837
09184,2022,350047
09184,2023,352771
09184,2024,354396
09184,2025,353994
09275,2018,192043
09275,2019,192656
09275,2020,193454
09275,2021,194090
09275,2022,193080
09275,2023,194068
09275,2024,194699
09275,2025,194329
09374,2018,94352
09374,2019,94450
09374,2020,94645
09374,2021,94838
09374,2022,95742
09374,2023,96209
09374,2024,96049
09374,2025,95657
01001,2018,89504
01001,2019,90164
01001,2020,89934
01001,2021,91113
01001,2022,96217
01001,2023,96431
01001,2024,96326
01001,2025,95568
09361,2018,41970
09361,2019,42207
09361,2020,42052
09361,2021,41994
09361,2022,42080
09361,2023,42217
09361,2024,42553
09361,2025,42631
07138,2018,181941
07138,2019,182811
07138,2020,183131
07138,2021,184390
07138,2022,187905
07138,2023,188656
07138,2024,189061
07138,2025,189146
05512,2018,117383
05512,2019,117565
05512,2020,117388
05512,2021,117311
05512,2022,118327
05512,2023,118912
05512,2024,118535
05512,2025,118482
05334,2018,555465
05334,2019,557026
05334,2020,556631
05334,2021,556673
05334,2022,580359
05334,2023,582463
05334,2024,582410
05334,2025,583325
09764,2018,43837
09764,2019,44100
09764,2020,44360
09764,2021,44721
09764,2022,43696
09764,2023,44048
09764,2024,44192
09764,2025,44378
01057,2018,128647
01057,2019,128686
01057,2020,129353
01057,2021,129687
01057,2022,130494
01057,2023,130635
01057,2024,130609
01057,2025,130318
09177,2018,137660
09177,2019,138182
09177,2020,138891
09177,2021,139622
09177,2022,138647
09177,2023,139547
09177,2024,140127
09177,2025,140456
05315,2018,1085664
05315,2019,1087863
05315,2020,1083498
05315,2021,1073096
05315,2022,1021253
05315,2023,1024408
05315,2024,1024621
05315,2025,1025523
09274,2018,158698
09274,2019,159895
09274,2020,161191
09274,2021,162331
09274,2022,160256
09274,2023,161180
09274,2024,162170
09274,2025,162624
07336,2018,70526
07336,2019,70219
07336,2020,70105
07336,2021,69949
07336,2022,70124
07336,2023,69846
07336,2024,69334
07336,2025,68738
09261,2018,72404
09261,2019,73411
09261,2020,73065
09261,2021,73150
09261,2022,68743
09261,2023,68741
09261,2024,71863
09261,2025,71922
08336,2018,228639
08336,2019,228736
08336,2020,228842
08336,2021,229445
08336,2022,235252
08336,2023,237212
08336,2024,238263
08336,2025,238142
09475,2018,95311
09475,2019,94801
09475,2020,94522
09475,2021,93907
09475,2022,92905
09475,2023,92675
09475,2024,92191
09475,2025,91582
09479,2018,73178
09479,2019,72655
09479,2020,71974
09479,2021,71482
09479,2022,70963
09479,2023,70959
09479,2024,70549
09479,2025,69990
08216,2018,231018
08216,2019,231420
08216,2020,232091
08216,2021,232296
08216,2022,230698
08216,2023,231356
08216,2024,230737
08216,2025,229763
03360,2018,92572
03360,2019,92389
03360,2020,92566
03360,2021,92894
03360,2022,91059
03360,2023,91832
03360,2024,91638
03360,2025,91367
09462,2018,74657
09462,2019,74783
09462,2020,74048
09462,2021,73909
09462,2022,72661
09462,2023,73074
09462,2024,72940
09462,2025,72919
09777,2018,140316
09777,2019,141182
09777,2020,141907
09777,2021,143236
09777,2022,140153
09777,2023,141137
09777,2024,142047
09777,2025,142065
