ags,year,population
16061,2023,102699
16061,2024,103694
16061,2025,102772
16062,2018,83822
16062,2019,83416
16062,2020,82456
16062,2021,81687
16062,2022,81811
16062,2023,81502
16062,2024,80762
16062,2025,79695
16063,2018,123025
16063,2019,118974
16063,2020,117967
16063,2021,158900
16063,2022,156566
16063,2023,156334
16063,2024,154957
16063,2025,153346
16064,2018,102912
16064,2019,102232
16064,2020,101698
16064,2021,101269
16064,2022,100435
16064,2023,96458
16064,2024,94613
16064,2025,93553
16065,2018,75009
16065,2019,74212
16065,2020,73522
16065,2021,72964
16065,2022,73022
16065,2023,72556
16065,2024,71738
16065,2025,70635
16066,2018,122347
16066,2019,124916
16066,2020,124241
16066,2021,123404
16066,2022,121791
16066,2023,121151
16066,2024,120214
16066,2025,118927
16067,2018,135452
16067,2019,134908
16067,2020,134563
16067,2021,133825
16067,2022,137321
16067,2023,136933
16067,2024,135838
16067,2025,134460
16068,2018,69655
16068,2019,69427
16068,2020,69107
16068,2021,68717
16068,2022,68325
16068,2023,68109
16068,2024,67693
16068,2025,67106
16069,2018,63553
16069,2019,63197
16069,2020,62656
16069,2021,62089
16069,2022,61271
16069,2023,60691
16069,2024,59987
16069,2025,59287
16070,2018,108742
16070,2019,106249
16070,2020,105606
16070,2021,105367
16070,2022,106975
16070,2023,107002
16070,2024,106657
16070,2025,106006
16071,2018,81947
16071,2019,82156
16071,2020,82291
16071,2021,82103
16071,2022,83148
16071,2023,82868
16071,2024,82392
16071,2025,81766
16072,2018,56196
16072,2019,57717
16072,2020,57044
16072,2021,56504
16072,2022,56412
16072,2023,55959
16072,2024,54964
16072,2025,54249
16073,2018,106356
16073,2019,103199
16073,2020,102139
16073,2021,100969
16073,2022,101556
16073,2023,101111
16073,2024,100105
16073,2025,98386
16074,2018,83051
16074,2019,82950
16074,2020,82816
16074,2021,82513
16074,2022,83595
16074,2023,84040
16074,2024,83342
16074,2025,82163
16075,2018,80868
16075,2019,80312
16075,2020,79632
16075,2021,79030
16075,2022,78404
16075,2023,77859
16075,2024,77341
16075,2025,76188
16076,2018,98159
16076,2019,97398
16076,2020,96668
16076,2021,96102
16076,2022,95281
16076,2023,94488
16076,2024,93707
16076,2025,92479
16077,2018,90118
16077,2019,89393
16077,2020,88356
16077,2021,87807
16077,2022,88034
16077,2023,87955
16077,2024,87508
16077,2025,86712
10041100,2018,180741
10041100,2019,180374
10041100,2020,179349
10041100,2021,179634
10041100,2022,180261
10041100,2023,181982
10041100,2024,182971
10041100,2025,182859
11001001,2022,361975
11001001,2023,363930
11001001,2024,364530
11001001,2025,365741
11002002,2022,266340
11002002,2023,266958
11002002,2024,266583
11002002,2025,267258
11003003,2022,403062
11003003,2023,406631
11003003,2024,409453
11003003,2025,411133
11004004,2022,320014
11004004,2023,322719
11004004,2024,323507
11004004,2025,323712
11005005,2022,240799
11005005,2023,243827
11005005,2024,246257
11005005,2025,248122
11006006,2022,296190
11006006,2023,295766
11006006,2024,295786
11006006,2025,295082
11007007,2022,334020
11007007,2023,336070
11007007,2024,337361
11007007,2025,339042
11008008,2022,306537
11008008,2023,307275
11008008,2024,307113
11008008,2025,309241
11009009,2022,280512
11009009,2023,285088
11009009,2024,288802
11009009,2025,293681
11010010,2022,274346
11010010,2023,280500
11010010,2024,282847
11010010,2025,285222
11011011,2022,294945
11011011,2023,298791
11011011,2024,302726
11011011,2025,305118
11012012,2022,254113
11012012,2023,254826
11012012,2024,260300
11012012,2025,257225
09175,2018,142142
09175,2019,143649
09175,2020,144091
09175,2021,144562
09175,2022,142205
09175,2023,143011
09175,2024,144225
09175,2025,144526
06533,2018,172083
06533,2019,171912
06533,2020,172291
06533,2021,172759
06533,2022,173484
06533,2023,174281
06533,2024,173830
06533,2025,172995
06432,2018,297399
06432,2019,297844
06432,2020,297701
06432,2021,296900
06432,2022,300928
06432,2023,302263
06432,2024,302021
06432,2025,301529
09673,2018,79690
09673,2019,79635
09673,2020,79510
09673,2021,79376
09673,2022,79216
09673,2023,79430
09673,2024,79375
09673,2025,78902
07337,2018,110356
07337,2019,110521
07337,2020,110783
07337,2021,111279
07337,2022,112907
07337,2023,113150
07337,2024,113031
07337,2025,112597
07231,2018,112262
07231,2019,112483
07231,2020,112685
07231,2021,113194
07231,2022,113299
07231,2023,113327
07231,2024,113187
07231,2025,112751
05162,2018,451007
05162,2019,451730
05162,2020,452001
05162,2021,452496
05162,2022,455818
05162,2023,457398
05162,2024,457077
05162,2025,455615
05116,2018,261454
05116,2019,261034
05116,2020,259665
05116,2021,261001
05116,2022,267333
05116,2023,267667
05116,2024,267213
05116,2025,267176
09471,2018,147086
09471,2019,147163
09471,2020,147497
09471,2021,147697
09471,2022,147269
09471,2023,148017
09471,2024,147777
09471,2025,147319
09263,2018,47794
09263,2019,47791
09263,2020,47612
09263,2021,47854
09263,2022,46953
09263,2023,47524
09263,2024,49002
09263,2025,49061
07143,2018,201597
07143,2019,201904
07143,2020,202830
07143,2021,203831
07143,2022,207154
07143,2023,207648
07143,2024,207803
07143,2025,207683
05558,2018,219929
05558,2019,220586
05558,2020,220712
05558,2021,221352
05558,2022,224745
05558,2023,226217
05558,2024,227859
05558,2025,227168
07332,2018,132660
07332,2019,132671
07332,2020,133004
07332,2021,133206
07332,2022,134032
07332,2023,134221
07332,2024,134329
07332,2025,133863
09774,2018,125747
09774,2019,127027
09774,2020,127342
09774,2021,128436
09774,2022,128361
09774,2023,129696
09774,2024,129846
09774,2025,129580
01002,2018,247548
