ags,year,divorces
09576,2021,53
09576,2022,46
09576,2023,61
09576,2024,112
06635,2018,104
06635,2019,74
06635,2020,66
06635,2021,98
06635,2022,70
06635,2023,63
06635,2024,55
08236,2018,95
08236,2019,83
08236,2020,179
08236,2021,98
08236,2022,171
08236,2023,94
08236,2024,80
03155,2018,69
03155,2019,73
03155,2020,127
03155,2021,54
03155,2022,95
03155,2023,53
03155,2024,49
09673,2018,28
09673,2019,38
09673,2020,32
09673,2021,39
09673,2022,34
09673,2023,39
09673,2024,35
09277,2018,51
09277,2019,48
09277,2020,53
09277,2021,50
09277,2022,45
09277,2023,56
09277,2024,89
08316,2018,102
08316,2019,95
08316,2020,91
08316,2021,87
08316,2022,75
08316,2023,59
08316,2024,84
03254,2018,256
03254,2019,122
03254,2020,119
03254,2021,181
03254,2022,116
03254,2023,186
03254,2024,137
09180,2018,35
09180,2019,37
09180,2020,43
09180,2021,27
09180,2022,34
09180,2023,28
09180,2024,34
08325,2018,58
08325,2019,139
08325,2020,108
08325,2021,51
08325,2022,60
08325,2023,60
08325,2024,92
08436,2018,117
08436,2019,113
08436,2020,124
08436,2021,101
08436,2022,105
08436,2023,92
08436,2024,89
07135,2018,23
07135,2019,20
07135,2020,28
07135,2021,32
07135,2022,32
07135,2023,40
07135,2024,19
03454,2018,152
03454,2019,166
03454,2020,120
03454,2021,198
03454,2022,200
03454,2023,112
03454,2024,192
06435,2018,268
06435,2019,242
06435,2020,228
06435,2021,255
06435,2022,212
06435,2023,198
06435,2024,170
08116,2018,223
08116,2019,219
08116,2020,443
08116,2021,223
08116,2022,396
08116,2023,184
08116,2024,240
09477,2018,59
09477,2019,66
09477,2020,37
09477,2021,55
09477,2022,25
09477,2023,26
09477,2024,26
09363,2018,24
09363,2019,13
09363,2020,19
09363,2021,17
09363,2022,37
09363,2023,15
09363,2024,22
05112,2018,238
05112,2019,440
05112,2020,237
05112,2021,455
05112,2022,385
05112,2023,212
05112,2024,267
05116,2018,305
05116,2019,126
05116,2020,128
05116,2021,159
05116,2022,193
05116,2023,102
05116,2024,110
06439,2018,97
06439,2019,79
06439,2020,109
06439,2021,149
06439,2022,88
06439,2023,66
06439,2024,85
07143,2018,96
07143,2019,103
07143,2020,114
07143,2021,85
07143,2022,100
07143,2023,84
07143,2024,103
03151,2018,69
03151,2019,75
03151,2020,83
03151,2021,111
03151,2022,76
03151,2023,78
03151,2024,90
09184,2018,177
09184,2019,183
09184,2020,181
09184,2021,167
09184,2022,340
09184,2023,137
09184,2024,165
03241001,2018,541
03241001,2019,327
03241001,2020,364
03241001,2021,391
03241001,2022,405
03241001,2023,490
03241001,2024,522
09661,2018,29
09661,2019,37
09661,2020,35
09661,2021,37
09661,2022,64
09661,2023,20
09661,2024,28
04012,2018,59
04012,2019,56
04012,2020,47
04012,2021,58
04012,2022,71
04012,2023,59
04012,2024,54
06631,2018,110
06631,2019,191
06631,2020,159
06631,2021,82
06631,2022,164
06631,2023,93
06631,2024,170
09563,2018,45
09563,2019,41
09563,2020,53
09563,2021,59
09563,2022,55
09563,2023,42
09563,2024,62
01057,2018,66
01057,2019,46
01057,2020,60
01057,2021,65
01057,2022,156
01057,2023,52
01057,2024,63
05766,2018,295
05766,2019,184
05766,2020,144
05766,2021,250
05766,2022,151
05766,2023,114
05766,2024,213
03351,2018,184
03351,2019,98
03351,2020,108
03351,2021,90
03351,2022,165
03351,2023,116
03351,2024,104
07211,2018,38
07211,2019,34
07211,2020,35
07211,2021,34
07211,2022,32
07211,2023,49
07211,2024,48
07318,2018,21
07318,2019,61
07318,2020,41
07318,2021,21
07318,2022,44
07318,2023,14
07318,2024,17
01061,2018,62
01061,2019,141
01061,2020,65
01061,2021,69
01061,2022,164
01061,2023,171
01061,2024,54
05962,2018,441
05962,2019,239
05962,2020,188
05962,2021,211
05962,2022,356
05962,2023,226
05962,2024,206
01053,2018,180
01053,2019,89
01053,2020,105
01053,2021,109
01053,2022,104
01053,2023,228
01053,2024,96
01004,2018,116
01004,2019,93
01004,2020,54
01004,2021,56
01004,2022,66
01004,2023,104
01004,2024,40
03241,2018,973
03241,2019,999
03241,2020,605
03241,2021,902
03241,2022,921
03241,2023,823
03241,2024,531
05774,2018,221
05774,2019,153
05774,2020,175
05774,2021,133
05774,2022,194
05774,2023,141
05774,2024,183
03361,2018,83
03361,2019,125
03361,2020,70
03361,2021,134
03361,2022,108
03361,2023,61
03361,2024,50
09478,2018,39
09478,2019,29
09478,2020,37
09478,2021,46
09478,2022,21
09478,2023,37
09478,2024,54
01062,2018,128
01062,2019,230
01062,2020,119
01062,2021,104
01062,2022,214
01062,2023,226
01062,2024,117
05122,2018,91
05122,2019,76
05122,2020,134
05122,2021,95
05122,2022,60
05122,2023,87
05122,2024,72
03405,2018,33
03405,2019,40
03405,2020,86
03405,2021,68
03405,2022,77
03405,2023,58
03405,2024,65
05170,2018,231
05170,2019,461
05170,2020,428
05170,2021,403
05170,2022,211
05170,2023,242
05170,2024,400
05762,2018,114
05762,2019,66
05762,2020,65
05762,2021,55
05762,2022,55
05762,2023,74
05762,2024,68
09162,2018,585
09162,2019,444
09162,2020,508
09162,2021,535
09162,2022,1049
09162,2023,415
09162,2024,434
09188,2018,59
09188,2019,54
09188,2020,55
09188,2021,47
09188,2022,91
09188,2023,97
09188,2024,97
06440,2018,128
06440,2019,270
06440,2020,232
06440,2021,144
06440,2022,217
06440,2023,124
06440,2024,123
08426,2018,68
08426,2019,95
08426,2020,85
08426,2021,91
08426,2022,79
08426,2023,81
08426,2024,91
09762,2018,34
09762,2019,35
09762,2020,20
09762,2021,43
09762,2022,15
09762,2023,22
09762,2024,21
05566,2018,253
05566,2019,358
05566,2020,411
05566,2021,144
05566,2022,176
05566,2023,205
05566,2024,325
07317,2018,42
07317,2019,43
07317,2020,36
07317,2021,15
07317,2022,24
07317,2023,13
07317,2024,24
03360,2018,53
03360,2019,78
03360,2020,46
03360,2021,74
03360,2022,89
03360,2023,38
03360,2024,40
05362,2018,275
05362,2019,507
05362,2020,456
05362,2021,223
05362,2022,376
05362,2023,179
05362,2024,220
09175,2018,75
09175,2019,64
09175,2020,53
09175,2021,60
09175,2022,100
09175,2023,126
09175,2024,55
06533,2018,98
06533,2019,89
06533,2020,75
06533,2021,89
06533,2022,75
06533,2023,83
06533,2024,99
05374,2018,156
05374,2019,142
05374,2020,284
05374,2021,268
05374,2022,124
05374,2023,240
05374,2024,287
07331,2018,78
07331,2019,77
07331,2020,61
07331,2021,68
07331,2022,70
07331,2023,69
07331,2024,62
09371,2018,41
09371,2019,32
09371,2020,44
09371,2021,54
09371,2022,48
09371,2023,47
09371,2024,53
03356,2018,93
03356,2019,64
03356,2020,71
03356,2021,48
03356,2022,56
03356,2023,51
03356,2024,59
03103,2018,114
03103,2019,76
03103,2020,77
03103,2021,68
03103,2022,84
03103,2023,74
03103,2024,57
09772,2018,134
09772,2019,134
09772,2020,126
09772,2021,151
09772,2022,117
09772,2023,190
09772,2024,231
09273,2018,40
09273,2019,89
09273,2020,54
09273,2021,63
09273,2022,54
09273,2023,50
09273,2024,80
06413,2018,31
06413,2019,29
06413,2020,27
06413,2021,35
06413,2022,35
06413,2023,31
06413,2024,33
05117,2018,127
05117,2019,58
05117,2020,75
05117,2021,107
05117,2022,94
05117,2023,65
05117,2024,85
07233,2018,43
07233,2019,51
07233,2020,41
07233,2021,21
07233,2022,38
07233,2023,25
07233,2024,48
07339,2018,110
07339,2019,92
07339,2020,89
07339,2021,125
07339,2022,126
07339,2023,217
07339,2024,93
09674,2018,29
09674,2019,33
09674,2020,38
09674,2021,33
09674,2022,72
09674,2023,38
09674,2024,35
08231,2018,62
08231,2019,50
08231,2020,38
08231,2021,130
08231,2022,48
08231,2023,39
08231,2024,103
09571,2018,158
09571,2019,150
09571,2020,72
09571,2021,92
09571,2022,71
09571,2023,67
09571,2024,71
04011,2018,480
04011,2019,211
04011,2020,220
04011,2021,511
04011,2022,491
04011,2023,220
04011,2024,228
05334,2018,552
05334,2019,306
05334,2020,257
05334,2021,207
05334,2022,246
05334,2023,233
05334,2024,197
05966,2018,75
05966,2019,67
05966,2020,63
05966,2021,74
05966,2022,47
05966,2023,58
05966,2024,47
08311,2018,111
08311,2019,141
08311,2020,154
08311,2021,141
08311,2022,48
08311,2023,53
08311,2024,62
06632,2018,54
06632,2019,66
06632,2020,113
06632,2021,72
06632,2022,98
06632,2023,62
06632,2024,72
05562,2018,657
05562,2019,302
05562,2020,285
05562,2021,263
05562,2022,285
05562,2023,255
05562,2024,310
09678,2018,99
09678,2019,62
09678,2020,43
09678,2021,52
09678,2022,42
09678,2023,57
09678,2024,88
05166,2018,291
05166,2019,127
05166,2020,126
05166,2021,134
05166,2022,247
05166,2023,120
05166,2024,110
08111,2018,231
08111,2019,205
08111,2020,178
08111,2021,471
08111,2022,186
08111,2023,168
08111,2024,375
09375,2018,97
09375,2019,78
09375,2020,96
09375,2021,78
09375,2022,89
09375,2023,91
09375,2024,76
05958,2018,235
05958,2019,134
05958,2020,119
05958,2021,125
05958,2022,124
05958,2023,111
05958,2024,131
09274,2018,64
09274,2019,84
09274,2020,89
09274,2021,138
09274,2022,75
09274,2023,68
09274,2024,131
07232,2018,120
07232,2019,103
07232,2020,99
07232,2021,88
07232,2022,79
07232,2023,84
07232,2024,93
05570,2018,116
05570,2019,130
05570,2020,160
05570,2021,134
05570,2022,102
05570,2023,151
05570,2024,128
05366,2018,188
05366,2019,107
05366,2020,87
05366,2021,88
05366,2022,105
05366,2023,95
05366,2024,98
05758,2018,106
05758,2019,177
05758,2020,164
05758,2021,83
05758,2022,158
05758,2023,64
05758,2024,73
05770,2018,294
05770,2019,322
05770,2020,197
05770,2021,148
05770,2022,302
05770,2023,188
05770,2024,175
07340,2018,60
07340,2019,53
07340,2020,127
07340,2021,46
07340,2022,89
07340,2023,45
07340,2024,41
08115,2018,158
08115,2019,145
08115,2020,164
08115,2021,174
08115,2022,135
08115,2023,157
08115,2024,145
05913,2018,542
05913,2019,513
05913,2020,271
05913,2021,284
05913,2022,526
05913,2023,281
05913,2024,263
06434,2018,194
06434,2019,127
06434,2020,105
06434,2021,115
06434,2022,137
06434,2023,104
