ags,year,total,german,foreign,male,female
07339,2023/24,2295,1917,378,1565,730
05766,2023/24,5739,4506,1233,3189,2550
08126,2023/24,1159,1085,74,601,558
07315,2023/24,36483,32201,4282,15076,21407
05558,2023/24,2795,2774,21,1294,1501
03403,2023/24,17270,15804,1466,7688,9582
06534,2023/24,21476,17253,4223,8884,12592
09479,2023/24,0,0,0,0,0
09575,2023/24,0,0,0,0,0
03153,2023/24,2753,1134,1619,2028,725
03154,2023/24,0,0,0,0,0
09772,2023/24,0,0,0,0,0
09672,2023/24,0,0,0,0,0
05162,2023/24,735,687,48,425,310
05916,2023/24,0,0,0,0,0
06532,2023/24,1825,1774,51,1383,442
01061,2023/24,0,0,0,0,0
08325,2023/24,0,0,0,0,0
09275,2023/24,0,0,0,0,0
03401,2023/24,0,0,0,0,0
07317,2023/24,647,336,311,351,296
08212,2023/24,37668,31300,6368,24075,13593
03103,2023/24,2260,1962,298,1519,741
09573,2023/24,0,0,0,0,0
08337,2023/24,0,0,0,0,0
09473,2023/24,0,0,0,0,0
06531,2023/24,36034,31021,5013,15725,20309
07313,2023/24,7499,7164,335,2055,5444
09362,2023/24,31632,28800,2832,14474,17158
09475,2023/24,267,173,94,106,161
09563,2023/24,417,396,21,107,310
08235,2023/24,305,298,7,111,194
03251,2023/24,316,316,0,275,41
07316,2023/24,0,0,0,0,0
09762,2023/24,272,268,4,116,156
07311,2023/24,0,0,0,0,0
05370,2023/24,0,0,0,0,0
01056,2023/24,3321,3216,102,2427,894
08317,2023/24,5140,4619,521,3014,2126
09780,2023/24,0,0,0,0,0
08425,2023/24,0,0,0,0,0
07232,2023/24,0,0,0,0,0
03405,2023/24,3330,2590,740,2091,1239
05117,2023/24,4263,3589,674,2948,1315
05754,2023/24,780,764,16,561,219
07131,2023/24,2515,2058,457,1488,1027
08118,2023/24,9768,9426,342,2379,7389
08315,2023/24,0,0,0,0,0
01058,2023/24,1506,1503,0,750,756
05113,2023/24,35272,30888,4384,15079,20193
05112,2023/24,16797,12325,4472,10334,6463
05914,2023/24,66678,60159,6519,35148,31530
08311,2023/24,33119,28061,5058,13339,19780
01054,2023/24,0,0,0,0,0
07231,2023/24,0,0,0,0,0
08128,2023/24,539,497,42,292,247
09472,2023/24,0,0,0,0,0
08421,2023/24,12944,11212,1732,7002,5942
03256,2023/24,0,0,0,0,0
03158,2023/24,5095,4504,591,3241,1854
05978,2023/24,369,367,2,175,194
06611,2023/24,28038,25072,2966,12360,15678
09276,2023/24,0,0,0,0,0
08215,2023/24,0,0,0,0,0
09189,2023/24,0,0,0,0,0
05966,2023/24,0,0,0,0,0
05366,2023/24,933,933,0,209,724
03360,2023/24,967,911,56,551,416
05170,2023/24,2558,1383,1175,1556,1002
09187,2023/24,179,179,0,57,122
03151,2023/24,0,0,0,0,0
03456,2023/24,0,0,0,0,0
08125,2023/24,0,0,0,0,0
09180,2023/24,0,0,0,0,0
06411,2023/24,41122,32283,8839,27219,13903
06633,2023/24,0,0,0,0,0
01051,2023/24,1455,1380,75,735,720
08121,2023/24,8961,7659,1302,5587,3374
03156,2023/24,0,0,0,0,0
09185,2023/24,201,179,22,115,86
08415,2023/24,5182,4342,840,3055,2127
09477,2023/24,0,0,0,0,0
08236,2023/24,0,0,0,0,0
08435,2023/24,2254,2106,148,1723,531
08437,2023/24,1203,1111,92,489,714
08221,2023/24,36336,30241,6095,15351,20985
09562,2023/24,29309,22221,7088,15013,14296
09662,2023/24,3166,1343,1823,2536,630
07140,2023/24,1402,1391,11,895,507
07334,2023/24,929,548,381,183,746
01004,2023/24,0,0,0,0,0
09673,2023/24,0,0,0,0,0
09172,2023/24,0,0,0,0,0
07337,2023/24,669,668,1,285,384
09564,2023/24,25585,22428,3157,12869,12716
09679,2023/24,0,0,0,0,0
09182,2023/24,0,0,0,0,0
07332,2023/24,0,0,0,0,0
05158,2023/24,710,651,59,576,134
03462,2023/24,0,0,0,0,0
03454,2023/24,2101,2032,69,1288,813
05166,2023/24,0,0,0,0,0
07336,2023/24,0,0,0,0,0
03358,2023/24,0,0,0,0,0
03460,2023/24,3861,3647,214,1201,2660
09278,2023/24,0,0,0,0,0
08326,2023/24,9012,8163,849,4789,4223
05570,2023/24,0,0,0,0,0
03451,2023/24,0,0,0,0,0
05915,2023/24,3167,2694,473,1628,1539
06533,2023/24,0,0,0,0,0
09773,2023/24,0,0,0,0,0
05958,2023/24,2956,2785,171,1878,1078
05913,2023/24,49733,42274,7459,27066,22667
07340,2023/24,0,0,0,0,0
08426,2023/24,11013,10012,1001,4231,6782
01053,2023/24,0,0,0,0,0
03102,2023/24,1713,1627,86,830,883
09171,2023/24,433,298,135,298,135
06415,2023/24,0,0,0,0,0
09178,2023/24,8672,6759,1913,4075,4597
09776,2023/24,0,0,0,0,0
05313,2023/24,0,0,0,0,0
07318,2023/24,279,278,1,148,131
05334002,2023/24,,,,,
05774,2023/24,18997,16293,2704,9245,9752
08237,2023/24,727,709,18,653,74
03351,2023/24,70,4,66,36,34
09461,2023/24,11182,9318,1864,4398,6784
08231,2023/24,5659,5007,652,3017,2642
05358,2023/24,3569,2061,1508,2440,1129
09174,2023/24,0,0,0,0,0
09373,2023/24,0,0,0,0,0
07137,2023/24,3184,2663,521,1779,1405
09777,2023/24,0,0,0,0,0
06434,2023/24,513,471,42,274,239
09163,2023/24,5529,4645,884,3550,1979
09162,2023/24,108490,83554,24936,50772,57718
05758,2023/24,38,30,8,23,15
05566,2023/24,4117,3562,555,3199,918
09363,2023/24,2537,1543,994,1367,1170
03252,2023/24,463,461,2,360,103
09565,2023/24,0,0,0,0,0
01062,2023/24,213,213,0,60,153
06636,2023/24,1854,1334,520,668,1186
03361,2023/24,290,258,32,36,254
09188,2023/24,1429,1422,7,588,841
09577,2023/24,88,69,19,75,13
09775,2023/24,4077,3596,481,2002,2075
09462,2023/24,11950,9970,1980,6416,5534
09574,2023/24,0,0,0,0,0
09274,2023/24,0,0,0,0,0
07132,2023/24,0,0,0,0,0
07312,2023/24,13475,10026,3449,8337,5138
03254,2023/24,11353,10210,1143,3643,7710
09677,2023/24,0,0,0,0,0
09277,2023/24,1490,69,1421,900,590
09161,2023/24,8172,5601,2571,5440,2732
09476,2023/24,0,0,0,0,0
09374,2023/24,0,0,0,0,0
09474,2023/24,0,0,0,0,0
07333,2023/24,0,0,0,0,0
07141,2023/24,0,0,0,0,0
03159,2023/24,33200,28076,5124,15380,17820
06437,2023/24,0,0,0,0,0
07138,2023/24,0,0,0,0,0
09377,2023/24,0,0,0,0,0
09663,2023/24,32740,29327,3413,13354,19386
08436,2023/24,8735,7927,808,3638,5097
08211,2023/24,98,90,8,35,63
08225,2023/24,2585,2505,80,1819,766
07235,2023/24,0,0,0,0,0
09471,2023/24,0,0,0,0,0
06635,2023/24,0,0,0,0,0
05111,2023/24,56839,50363,6476,25326,31513
05116,2023/24,7964,6873,1091,3373,4591
09372,2023/24,460,52,408,400,60
07338,2023/24,0,0,0,0,0
01055,2023/24,0,0,0,0,0
08127,2023/24,640,587,53,258,382
09763,2023/24,4777,4342,435,2752,2025
05362,2023/24,2320,2201,119,1289,1031
03459,2023/24,0,0,0,0,0
08136,2023/24,8003,7385,618,3779,4224
09183,2023/24,686,662,24,136,550
05314,2023/24,36750,31021,5729,16555,20195
07134,2023/24,1784,1260,524,1131,653
09464,2023/24,5126,3645,1481,2917,2209
09272,2023/24,0,0,0,0,0
09675,2023/24,0,0,0,0,0
08117,2023/24,3466,3144,322,2012,1454
05974,2023/24,5589,4065,1524,3438,2151
03356,2023/24,0,0,0,0,0
06439,2023/24,7329,6482,847,3302,4027
09361,2023/24,1540,1360,180,1191,349
01057,2023/24,0,0,0,0,0
02000,2023/24,119244,102381,16863,54591,64653
03157,2023/24,0,0,0,0,0
03457,2023/24,366,263,103,270,96
09279,2023/24,0,0,0,0,0
09771,2023/24,0,0,0,0,0
06413,2023/24,795,623,172,333,462
05315,2023/24,97647,85267,12380,44854,52793
09176,2023/24,3963,3418,545,1223,2740
09375,2023/24,0,0,0,0,0
03452,2023/24,0,0,0,0,0
