ags,year,persons
03255,2022,5323
03255,2024,5191
09675,2018,1964
09675,2020,1772
09675,2022,2231
09675,2024,2165
09778,2018,1799
09778,2020,1854
09778,2022,2334
09778,2024,2668
09173,2018,2902
09173,2020,2906
09173,2022,3430
09173,2024,3424
09271,2018,3017
09271,2020,2989
09271,2022,3109
09271,2024,3137
03358,2018,9519
03358,2020,8666
03358,2022,8870
03358,2024,8871
09773,2018,2499
09773,2020,2397
09773,2022,2817
09773,2024,3214
05954,2018,26251
05954,2020,25489
05954,2022,26285
05954,2024,27573
08326,2018,7377
08326,2020,8081
08326,2022,9222
08326,2024,9571
07336,2018,3832
07336,2020,3523
07336,2022,3873
07336,2024,3798
03353,2018,11243
03353,2020,11003
03353,2022,12268
03353,2024,12283
09176,2018,1660
09176,2020,1786
09176,2022,2624
09176,2024,3201
05154,2018,18296
05154,2020,16217
05154,2022,16682
05154,2024,18365
06632,2018,5833
06632,2020,5303
06632,2022,5857
06632,2024,5731
09262,2018,2839
09262,2020,3063
09262,2022,3172
09262,2024,3652
03101,2018,18176
03101,2020,18126
03101,2022,18884
03101,2024,18078
09274,2018,2777
09274,2020,2996
09274,2022,3361
09274,2024,3947
03456,2018,6489
03456,2020,6036
03456,2022,6822
03456,2024,6645
03153,2018,11662
03153,2020,10893
03153,2022,10567
03153,2024,10447
05166,2018,19317
05166,2020,17540
05166,2022,17555
05166,2024,17847
01058,2018,15721
01058,2020,14340
01058,2022,13873
01058,2024,14608
06436,2018,10973
06436,2020,11024
06436,2022,12050
06436,2024,12366
08416,2018,7849
08416,2020,7610
08416,2022,8121
08416,2024,8688
09372,2018,2573
09372,2020,2510
09372,2022,3153
09372,2024,3417
08415,2018,12446
08415,2020,11865
08415,2022,12367
08415,2024,13140
03251,2018,12453
03251,2020,11466
03251,2022,12046
03251,2024,11338
06534,2018,13662
06534,2020,12471
06534,2022,13733
06534,2024,14125
08437,2018,3581
08437,2020,3342
08437,2022,3767
08437,2024,3916
08135,2018,6394
08135,2020,5945
08135,2022,5878
08135,2024,6281
09186,2018,1437
09186,2020,1483
09186,2022,2013
09186,2024,2275
01001,2018,12152
01001,2020,11752
01001,2022,10663
01001,2024,10121
05362,2018,36315
05362,2020,33925
05362,2022,33697
05362,2024,33508
09163,2018,3200
09163,2020,3106
09163,2022,3137
09163,2024,3351
09261,2018,3270
09261,2020,3413
09261,2022,4019
09261,2024,4186
07111,2018,10351
07111,2020,9582
07111,2022,9542
07111,2024,9692
01059,2018,12203
01059,2020,10611
01059,2022,10570
01059,2024,11214
09764,2018,1364
09764,2020,1387
09764,2022,1726
09764,2024,1673
09471,2018,2780
09471,2020,2425
09471,2022,2898
09471,2024,3203
09172,2018,3017
09172,2020,3109
09172,2022,3170
09172,2024,3265
07315,2018,16682
07315,2020,16153
07315,2022,16099
07315,2024,15287
01054,2018,9598
01054,2020,8648
01054,2022,8571
01054,2024,8902
08211,2018,2739
08211,2020,2742
08211,2022,3547
08211,2024,4008
01002,2018,34563
01002,2020,32276
01002,2022,29977
01002,2024,28763
07318,2018,3604
07318,2020,3386
07318,2022,3064
07318,2024,3123
08325,2018,3654
08325,2020,3418
08325,2022,4087
08325,2024,4487
03357,2018,7375
03357,2020,6368
03357,2022,6884
03357,2024,6235
07133,2018,10515
07133,2020,10083
07133,2022,10405
07133,2024,10606
05911,2018,45237
05911,2020,43520
05911,2022,41544
05911,2024,40945
03455,2018,5525
03455,2020,4678
03455,2022,4916
03455,2024,5035
07140,2018,4140
07140,2020,3897
07140,2022,4482
07140,2024,4034
08425,2018,4798
08425,2020,4547
08425,2022,5389
08425,2024,5888
07231,2018,3916
07231,2020,3501
07231,2022,4662
07231,2024,4360
05754,2018,18766
05754,2020,17582
05754,2022,17947
05754,2024,19685
05114,2018,29073
05114,2020,27929
05114,2022,27550
05114,2024,27133
07332,2018,5297
07332,2020,5081
07332,2022,5253
07332,2024,5548
07337,2018,4488
07337,2020,4417
07337,2022,4883
07337,2024,5054
08327,2018,4592
08327,2020,4965
08327,2022,5389
08327,2024,5868
05119,2018,29239
05119,2020,28223
05119,2022,28818
05119,2024,27645
08121,2018,8481
08121,2020,8360
08121,2022,8781
08121,2024,9380
08126,2018,2293
08126,2020,2196
08126,2022,2971
08126,2024,3441
09275,2018,5515
09275,2020,5406
09275,2022,5787
09275,2024,6419
09679,2018,3335
09679,2020,3104
09679,2022,3376
09679,2024,3500
09777,2018,2702
09777,2020,2567
09777,2022,3160
09777,2024,2899
09177,2018,2506
09177,2020,2757
09177,2022,2916
09177,2024,2919
05315,2018,118147
05315,2020,122205
05315,2022,117989
05315,2024,113029
09373,2018,2078
09373,2020,2009
09373,2022,2642
09373,2024,2844
03451,2018,6311
03451,2020,5872
03451,2022,6153
03451,2024,6121
06611,2018,25234
06611,2020,24319
06611,2022,25177
